REGION : COUNTER RESULT
00000000 : 0000000080008956
00000001 : 000000008003dc75
00000002 : 000000008001590b
00000003 : 000000007fffedc9
00000004 : 00000000800ea9d9
00000005 : 0000000080007a61
00000006 : 000000007ff0cf72
00000007 : 000000007ff1d605
00000008 : 000000007ff0e21c
00000009 : 000000007ffea88f
0000000a : 000000007ffd1ade
0000000b : 00000000800e74e5
0000000c : 000000008001cef5
0000000d : 00000000800dfceb
0000000e : 00000000800d47df
0000000f : 000000007ff08efc
00000010 : 000000007ffd92c4
00000011 : 000000007ffe7b51
00000012 : 000000007ffcb4db
00000013 : 000000007ffd8fae
00000014 : 00000000800c1cab
00000015 : 00000000800d3d92
00000016 : 000000007ff028e4
00000017 : 000000007ff101cf
00000018 : 000000007ffcfcce
00000019 : 00000000800cd498
0000001a : 0000000080005567
0000001b : 000000008001af17
0000001c : 000000007ff22413
0000001d : 000000007fffe0c8
0000001e : 000000007ffc1f63
0000001f : 000000007ffe04c2
